text,intents
Do you have information on Taj Tandoori?,find_restaurant
I'm looking for a restaurant that serves americas food.,find_restaurant
I am wondering if you have any restaurants in town that serve eriterean food.,find_restaurant
I would like a cheap restaurant in the west part of town,find_restaurant
I would like a restaurant that serves brazilian food,find_restaurant
I'm looking for a restaurant in the center of town that serves Singaporean food. Do you have any suggestions?,find_restaurant
I'm looking for a cheap indian restaurant please.,find_restaurant
Can you give me information about the Yu Garden? It's a restaurant my sister recommended.,find_restaurant
"Hi! I'm looking for a cheap restaurant in the north, any type!",find_restaurant
"Hi, can you help me with my planning? I am looking for a restaurant.",find_restaurant
"I'd looking for a good restaurant on the east side. I'd prefer the moderate price range, if possible.",find_restaurant
"Great, can you help me find a place to eat that serves expensive Indian food?",find_restaurant
I am looking for an expensive restaurant that serves Indonesian food.,find_restaurant
Okay. I'm also looking for a restaurant called Restaurant Alimentum.,find_restaurant
I would like to blow my budget at an expensive restaurant in the centre area.,find_restaurant
"Hello I am looking for a nice restaurant nearby that serve Portuguese , but I would also like the prices very affordable",find_restaurant
Is there an expensive French restaurant in town?,find_restaurant
I would like a moderately priced restaurant in the north part of town,find_restaurant
I also need a Vietnamese restaurant.,find_restaurant
I just want the restaurant to be in the same price range as my hotel,find_restaurant
I would like a moderately priced restaurant that serves brazilian food,find_restaurant
Thanks. I also am looking for a restaurant to dine in that serves Chinese food and would prefer close to the attraction.,find_restaurant
I want to find a Chinese restaurant in the cheap price range.,find_restaurant
I'm looking for a restaurant in cambridge that serves italian. I would like it to be in the south.,find_restaurant
I also need a dining place. International food in expensive range would work for me.,find_restaurant
Can you help me find a cheap restaurant in the south that serves Chinese?,find_restaurant
I am looking for a local restaurant in the south that offers modern European cuisine,find_restaurant
Are there any eritrean restaurants in town?,find_restaurant
Thanks I also need a restaurant in the cheap price range serving international food,find_restaurant
I want to find a Chinese restaurant in the centre of Cambridge.,find_restaurant
I want to find a restaurant in the centre part of town and serves persian food.,find_restaurant
Please help me find a moderately priced restaurant located in the centre. Thanks.,find_restaurant
"Yes, are there any seafood restaurants in the centre?",find_restaurant
I also need to book a table at the royal spice restaurant.,find_restaurant
"Hello, I am looking for a cheap restaurant that serves Malaysian food.",find_restaurant
"There aren't any Polish restaurants in the centre, are there?",find_restaurant
i would like an expensive restaurant that serves irish food,find_restaurant
"Yes, I need help locating Pizza Hut City Centre.",find_restaurant
I need a south restaurant with some greek food.,find_restaurant
"Hi, I need a place to eat in the centre for a medium price range. What do you have that you can suggest?",find_restaurant
Can you tell me about the J Restaurant?,find_restaurant
Are there any cheap restaurants in the centre that I can try?,find_restaurant
I want to find a restaurant in the south part of town and serves scandinavian food.,find_restaurant
I need an expensive restaurant that serves Persian food in the town center.,find_restaurant
Can you find a place to dine for me?,find_restaurant
I would like a cheap restaurant that serves portuguese food,find_restaurant
"Hello, I'm looking for information about restaurants in Cambridge. They should be located in the Centre and ser Gastropub food.",find_restaurant
I am looking for a restaurant. The restaurant should be in the west and should be in the expensive price range,find_restaurant
Can you recommend some cantonese food in Cambridge please?,find_restaurant
"Fantastic, I'd also like a moderately priced restaurant in the centre of town, please.",find_restaurant
Hi! Can you find me a moderately priced restaurant for my girlfriend and I?,find_restaurant
"I'm sorry, I don't need a booking just yet. I would like to find a restaurant serving Chinese food, in the north.",find_restaurant
What does Cambridge offer as far as expensive cantonese restaurants?,find_restaurant
I want to find a moderately priced restaurant in the south part of town.,find_restaurant
"Hello, I am looking for an expensive restaurant that serves Lebanese food.",find_restaurant
"I need a restaurant on the north side, Italian if possible.",find_restaurant
Could you give me the postcode?,find_restaurant
I am also looking for mediterranean food in the centre.,find_restaurant
I would like a nice place to dine in the south area.,find_restaurant
"Hello, I heard Cambridge has some really awesome Indian restaurants so I'd love to try one of them please. An expensive one.",find_restaurant
"Oh, I am also looking for an African restaurant in the centre...North African, to be exact.",find_restaurant
"Okay, thanks. I'm also looking for a particular restaurant called the cow pizza kitchen and bar.",find_restaurant
I'm looking for a cheap restaurant in the west area.,find_restaurant
Where can I find a Vietnamese restaurant in West Cambridge?,find_restaurant
I want a jamaican food restaurant in the centre part of town.,find_restaurant
"Yes, I need information on the restaurant Ali Baba.",find_restaurant
"I am looking for the restaurant, De Luca Cucina and bar. Where is it located in Cambridge?",find_restaurant
"Hello, I am looking for a Hungarian restaurant on the east side of town.",find_restaurant
"Hi there, I'm looking for information on Darry's Cookhouse and Wine Shop.",find_restaurant
Okay I'm looking for a restaurant today.,find_restaurant
Thanks so much. I'd also like to find an expensive restaurant in the center.,find_restaurant
I'm looking for a place called riverside brasserie,find_restaurant
Yes. I am looking for a moderately priced restaurant in the west part of town.,find_restaurant
Help me find a moderate priced british food place please.,find_restaurant
Yes I am looking for a restaurant that is expensive and located on the west side.,find_restaurant
I am looking for a place to dine in the west.,find_restaurant
I am excited to be coming and would love to find an expensive mexican restaurant.,find_restaurant
Could I get a phone number for the restaurant please?,find_restaurant
"Great, thanks. I'm also looking for a restaurant. Can you help me with that?",find_restaurant
expensive mediterranean restaurant please,find_restaurant
"Thank, I also want to dine at a restaurant in the same area with an expensive price range.",find_restaurant
Can you also find me an expensive indian restaurant?,find_restaurant
"Hello, I am looking for a thai restaurant on the north side of town.",find_restaurant
When i I get to Cambridge I need to know where to find a restaurant called frankie and bennys.,find_restaurant
"Hi, can you please give me information on the restaurant The Gardenia?",find_restaurant
"Yes, I'm also looking for a North African restaurant.",find_restaurant
Hello! I'm looking for information on Restaurant One Seven.,find_restaurant
I would like a restaurant that serves brazilian food,find_restaurant
Could you help me find a restaurant in the Cambridge area called La Margherita?,find_restaurant
"I also need a restaurant. Portuguese, if possible.",find_restaurant
I'm looking for a medium priced Chinese restaurant.,find_restaurant
"Yes, but I do need the reference number, please. I'm also looking for a sri lankan restaurant in the south.",find_restaurant
I am looking for a cheap restaurant that is in the north part of town.,find_restaurant
"Hello, I am looking for an expensive restaurant that serves Irish food.",find_restaurant
Can you please tell me how to get to the Curry King restaurant please?,find_restaurant
Can you recommend an Italian restaurant in the centre as well?,find_restaurant
I am looking for Italian food on the south side of the city.,find_restaurant
"I would like a mediterranean restaurant, and I don't care what part of town it is in.",find_restaurant
"Hi, I want to eat at an expensive seafood restaurant in Cambridge. Where can I go?",find_restaurant
I need a moderate priced Jamican restaurant.,find_restaurant
I also need a restaurant.,find_restaurant
Can you help me find a cheap restaurant in the west side of town?,find_restaurant
Hi! Can you give me some information on the Golden Curry restaurant?,find_restaurant
"Hi, what can you tell me about a restaurant called the golden curry?",find_restaurant
I'm hoping you can help me dig up some information about darrys cookhouse and wine shop.,find_restaurant
"Thank you. Can you find us some good eats, too? We'd like something moderately priced that serves South African cuisine.",find_restaurant
I'd like to find an expensive restaurant in the east part of town.,find_restaurant
"Hi, I am looking for some information for my upcoming trip. Specifically, I am looking for an Indian restaurant.",find_restaurant
Thanks. I was also wondering about restaurants. Any chance there are places that serve new zealand cuisine?,find_restaurant
I want to find an asian oriental restaurant in the same area. Expensive please,find_restaurant
I am also looking for a restaurant in the same area. Preferably vegetarian food in the moderate price range.,find_restaurant
Are there restaurants in the city centre which serve North American cuisine?,find_restaurant
I need a really inexpensive restaurant on the east side.,find_restaurant
